Time,ManagementArea,Prescription,Stand,EventID,StandAge,StandRank,NumberOfSites,HarvestedSites,MgBiomassRemoved,MgBioRemovedPerDamagedHa,TotalCohortsPartialHarvest,TotalCohortsCompleteHarvest,CohortsHarvested_abiebals,CohortsHarvested_acerrubr,CohortsHarvested_acersacc,CohortsHarvested_betualle,CohortsHarvested_betupapy,CohortsHarvested_fraxamer,CohortsHarvested_piceglau,CohortsHarvested_pinubank,CohortsHarvested_pinuresi,CohortsHarvested_pinustro,CohortsHarvested_poputrem,CohortsHarvested_querelli,CohortsHarvested_querrubr,CohortsHarvested_thujocci,CohortsHarvested_tiliamer,BiomassHarvestedMg_abiebals,BiomassHarvestedMg_acerrubr,BiomassHarvestedMg_acersacc,BiomassHarvestedMg_betualle,BiomassHarvestedMg_betupapy,BiomassHarvestedMg_fraxamer,BiomassHarvestedMg_piceglau,BiomassHarvestedMg_pinubank,BiomassHarvestedMg_pinuresi,BiomassHarvestedMg_pinustro,BiomassHarvestedMg_poputrem,BiomassHarvestedMg_querelli,BiomassHarvestedMg_querrubr,BiomassHarvestedMg_thujocci,BiomassHarvestedMg_tiliamer,
25, 1, SelectiveNorthernHardwood, 16, 27, 213, 3149, 79, 7, 147.79, 21.1129, 51, 0, 0, 12, 11, 12, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28.12, 17.57, 52.76, 0, 49.34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 23, 49, 128, 570, 213, 15, 239.76, 15.984, 81, 0, 0, 25, 10, 20, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64.58, 16.07, 78.46, 0, 80.65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 15, 47, 364, 828, 30, 1, 1.71, 1.71, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 20, 12, 248, 5494, 60, 6, 75.56, 12.5933, 54, 0, 0, 10, 14, 13, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11.34, 13.46, 23.79, 0, 26.97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 19, 39, 344, 1699, 55, 1, 27.49, 27.49, 10, 0, 0, 2, 2, 2, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.03, 3.41, 9.87, 0, 10.18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 21, 36, 211, 2073, 71, 7, 151.93, 21.7043, 62, 0, 0, 14, 14, 15, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30.41, 18.71, 51.62, 0, 51.19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 26, 18, 330, 4699, 154, 13, 104.31, 8.0238, 126, 0, 0, 18, 41, 27, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.05, 37.32, 23.22, 0, 39.72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 27, 53, 126, 394, 145, 8, 114.42, 14.3025, 37, 0, 0, 11, 3, 10, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31.03, 4.5, 35.7, 0, 43.19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 28, 43, 158, 981, 183, 16, 313.59, 19.5994, 106, 0, 0, 29, 16, 28, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79.07, 23.4, 104.14, 0, 106.98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 29, 11, 291, 5519, 172, 13, 167.09, 12.8531, 135, 0, 0, 22, 40, 30, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15.6, 41.42, 50.07, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 24, 28, 238, 3147, 82, 5, 100.46, 20.092, 42, 0, 0, 10, 6, 11, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20.46, 7.77, 35.27, 0, 36.96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
